date,signale_par,objet,description,urgence,statut
2024-07-08,Mme Weber,lampadaire LED près de Route de Lausanne,Éclaire mal,,
2025-04-11,patrouille JM,banc Rue du Casino,Bois pourri côté gauche,,
2024-09-03,concierge école,Lampadaire Passage de l'Hôtel de Ville,Vitre cassée,,fait
2025-05-08,Mme Rochat,Banc près de Rue du Milieu,Tags / graffitis,,fait
2024-07-18,email citoyen,panneau info Passage de l'Hôtel de Ville,Vitrine cassée,,en attente
2024-12-18,,panneau Passage de l'Hôtel de Ville,Vitrine cassée,,en attente
2025-03-27,Mme Dupont,fontaine Rue du Lac,Mousse/algues,,fait
2024-04-13,patrouille JM,banc public près de Y-Parc,Tags / graffitis,,
2025-01-06,Mme Weber,poubelle Rue du Casino,Brûlée,urgent,en attente
2023-11-26,Mme Dupont,banc Rue de la Maison Rouge,Un pied est tordu,urgent,fait
2024-09-19,Mme Rochat,le Lampadaire LED devant Plage d'Yverdon,Ampoule grillée,,
08.04.2022,Mme Rochat,banc Place de la Gare,Un pied est tordu,,en attente
2024-04-13,patrouille JM,borne Avenue de la Gare,Câble manquant,,
2023-04-01,Mme Dupont,le Lampadaire LED devant Plage d'Yverdon,Mât penché après la tempête,,fait
2024-02-16,un passant,le corbeille devant Parc des Rives,Tags,normal,fait
2025-11-19,email citoyen,le banc devant Chemin de Maillefer,Un pied est tordu,urgent,en cours
15.03.2023,habitant du quartier,lampadaire sodium Passage de l'Hôtel de Ville,Clignote depuis 1 semaine,normal,
2023-05-17,M. Pereira,Lampadaire Place de la Gare,Vitre cassée,,en attente
15.04.2022,patrouille JM,le Lampadaire devant Avenue de la Gare,Clignote depuis 1 semaine,urgent,fait
2024-01-12,M. Pereira,le banc public devant place de la gare,Vis qui dépassent,normal,
2024-04-08,habitant du quartier,Banc Rue du Lac,Le dossier est fendu,normal,fait
2025-11-04,un habitant,le borne recharge EV devant Avenue de la Gare,Écran cassé,,en cours
2024-04-22,M. Pereira,banc près de Avenue de la Gare,Bois pourri côté gauche,,fait
25.02.2023,un habitant,banc Rue du Lac,Lattes cassées,,en attente
2024-01-01,un habitant,banc près de Rue du Casino,Le dossier est fendu,normal,fait
28.08.2023,email citoyen,borne EV près de Route de Lausanne,Ne charge plus,normal,en attente
2024-04-21,patrouille JM,borne recharge EV près de Passage de l'Hôtel de Ville,Écran cassé,urgent,
2023-04-26,M. Keller,le lampadaire LED devant Chemin de Maillefer,Ne s'allume plus,urgent,fait
2023-04-09,,lampadaire Chemin de Maillefer,Ampoule grillée,,fait
2025-04-19,concierge école,banc Rue du Casino,Un pied est tordu,urgent,fait
2025-12-16,Mme Rochat,Fontaine Place de la Gare,Mousse/algues,,en attente
2024-11-11,habitant du quartier,lampadaire LED près de Plage d'Yverdon,Clignote depuis 1 semaine,normal,fait
2025-04-28,,le Fontaine devant Rue du Casino,Ne coule plus,,fait
25.10.2023,concierge école,banc Avenue de la Gare,Bois pourri côté gauche,,en attente
2023-09-07,Mme Weber,poubelle près de Passage de l'Hôtel de Ville,Tags,,en cours
2024-03-26,patrouille JM,lampadaire led Avenue des Bains,Ampoule grillée,,fait
2024-12-25,un habitant,le panneau affichage devant Rue de la Plaine,Vitrine cassée,,fait
2025-04-10,Mme Dupont,le Lampadaire devant Avenue de la Gare,Ampoule grillée,,
12.08.2023,M. Keller,le Banc devant Rue du Lac,Un pied est tordu,,en attente
2023-06-04,Mme Dupont,banc Route de Lausanne,Un pied est tordu,,fait
2025-05-24,M. Keller,lampadaire led près de Avenue des Sports,Éclaire mal,,
2025-05-16,un habitant,poubelle tri près de Avenue des Sports,Brûlée,,
2024-09-02,un passant,poubelle Avenue des Bains,Renversée,,en attente
2025-03-02,,banc Centre sportif,Bois pourri côté gauche,normal,en attente
2024-03-14,,poubelle tri Avenue des Bains,Tags,,en attente
23.06.2023,Mme Dupont,corbeille près de Rue des Pêcheurs,Tags,,
2024-03-06,Mme Dupont,panneau affichage Rue de la Plaine,Affichage décollé,normal,fait
2024-12-21,email citoyen,lampadaire Avenue des Sports,Clignote depuis 1 semaine,,en attente
18.10.2023,un habitant,banc près de Avenue de la Garre,Lattes cassées,urgent,en attente
2024-12-04,Mme Rochat,Banc Rue de la Plaine,Lattes cassées,,
2023-01-19,Mme Weber,le Panneau devant Place de la Gare,Penché,,fait
2024-09-10,un passant,fontaine Avenue de la Gare,Gel a abîmé la tuyauterie,,en attente
2025-11-14,Mme Weber,banc Y-Parc,Un pied est tordu,,en attente
2023-03-17,email citoyen,panneau affichage près de Rue de la Plaine,Vitrine cassée,,fait
2025-03-02,patrouille JM,fontaine Place de la Gare,Ne coule plus,,
2023-01-15,un habitant,Lampadaire près de Place de la Gare,Ampoule grillée,,
2024-03-11,email citoyen,poubelle tri Avenue des Bains,Déborde régulièrement,,fait
03.03.2022,,le poubelle tri devant Parc des Rives,Brûlée,normal,en attente
2024-07-25,M. Pereira,poubelle Rue du Milieu,Couvercle cassé,,fait
12.04.2022,concierge école,panneau info près de Passage de l'Hôtel de Ville,Vitrine cassée,,en cours
2024-09-12,Mme Rochat,corbeille Avenue des Bains,Déborde régulièrement,,en attente
2023-03-17,,lampadaire led près de Y-Parc,Clignote depuis 1 semaine,normal,en attente
10.03.2023,concierge école,le lampadaire LED devant Plage d'Yverdon,Ne s'allume plus,urgent,
2025-05-19,habitant du quartier,le panneau info devant Passage de l'Hôtel de Ville,Penché,,en attente
2025-04-14,,le banc devant Route de Lausanne,Tags / graffitis,,fait
2024-05-10,email citoyen,le Fontaine devant Place de la Gare,Mousse/algues,,en attente
2024-01-09,un passant,corbeille près de Rue du Milieu,Déborde régulièrement,,en attente
2025-11-19,un habitant,lampadaire Avenue de la Gare,Ne s'allume plus,urgent,fait
2024-11-19,M. Keller,le banc public devant Rue du Casino,Le dossier est fendu,,fait
2024-01-25,un passant,lampadaire Plage d'Yverdon,Ampoule grillée,,en attente
2024-11-22,un passant,Banc Parc des Rives,Tags / graffitis,,fait
2023-01-12,M. Pereira,le banc devant Rue Haldimand,Le dossier est fendu,,
2025-12-03,concierge école,Poubelle près de Chemin de Maillefer,Tags,,fait
2024-03-08,un passant,borne recharge EV près de Avenue de la Gare,Écran cassé,normal,
2025-02-21,concierge école,lampadaire Plage d'Yverdon,Mât penché après la tempête,urgent,fait
2025-11-23,email citoyen,lampadaire Passage de l'Hôtel de Ville,Vitre cassée,,fait
2025-01-07,patrouille JM,panneau info près de Passage de l'Hôtel de Ville,Vitrine cassée,,fait
2024-07-21,M. Keller,banc public près de Place de la Gare,Vis qui dépassent,,en cours
11.11.2022,patrouille JM,lampadaire LED Plage d'Yverdon,Vitre cassée,,fait
2023-12-15,habitant du quartier,banc Rue de la Plaine,Lattes cassées,,
2024-10-21,Mme Rochat,lampadaire près de Place de la Gare,Éclaire mal,,
2024-12-21,patrouille JM,banc Avenue de la Gare,Le dossier est fendu,urgent,en attente
2023-10-11,un habitant,le banc devant Avenue de la Gare,Tags / graffitis,,fait
2025-05-14,Mme Weber,banc Rue du Casino,Bois pourri côté gauche,normal,en attente
09.03.2023,Mme Dupont,le poubelle tri devant Route de Lausanne,Déborde régulièrement,,
2023-04-15,habitant du quartier,fontaine Place Pestalozzi,Gel a abîmé la tuyauterie,normal,
2025-07-04,un habitant,le Lampadaire LED devant Rue du Lac,Vitre cassée,,fait
22.03.2023,M. Keller,le Fontaine devant Avenue de la Gare,Fuit au sol,urgent,
2025-12-08,patrouille JM,poubelle Passage de l'Hôtel de Ville,Brûlée,urgent,en cours
2024-12-23,un habitant,lampadaire Rue de la Plaine,Clignote depuis 1 semaine,urgent,en attente
2024-02-13,Mme Rochat,fontaine publique Place Pestalozzi,Mousse/algues,,fait
2024-12-08,M. Pereira,banc près de Rue Haldimand,Lattes cassées,normal,fait
2025-04-03,Mme Weber,lampadaire sodium Rue de la Plaine,Vitre cassée,,en attente
2025-03-08,,lampadaire près de Place de la Gare,Clignote depuis 1 semaine,normal,en cours
2025-11-26,email citoyen,lampadaire Avenue de la Garre,Ampoule grillée,,
2023-12-21,habitant du quartier,Lampadaire Place de la Gare,Ampoule grillée,,fait
2025-06-15,M. Keller,le poubelle tri devant Y-Parc,Tags,urgent,en cours
2024-02-23,concierge école,lampadaire sodium Rue de la Plaine,Éclaire mal,urgent,en attente
2024-10-01,Mme Weber,poubelle Parc des Rives,Déborde régulièrement,,
2024-03-19,Mme Weber,lampadaire Rue du Lac,Ne s'allume plus,urgent,fait
2024-04-11,un passant,lampadaire LED près de Centre sportif,Vitre cassée,urgent,fait
2025-03-06,M. Keller,le Banc devant Avenue de la Gare,Lattes cassées,normal,
26.04.2023,M. Keller,panneau affichage près de Rue de la Plaine,Affichage décollé,,
08.09.2022,email citoyen,Lampadaire LED Plage d'Yverdon,Mât penché après la tempête,normal,fait
2025-04-28,email citoyen,lampadaire sodium Passage de l'Hôtel de Ville,Vitre cassée,normal,fait
26.03.2023,Mme Rochat,borne recharge EV Avenue de la Gare,Câble manquant,,
2024-03-10,,poubelle Parc des Rives,Déborde régulièrement,,
2024-06-03,patrouille JM,le fontaine publique devant Parc des Rives,Fuit au sol,urgent,fait
2024-05-18,M. Pereira,banc public près de Quai de Nogent,Tags / graffitis,urgent,fait
2023-10-27,Mme Weber,banc place de la gare,Un pied est tordu,,en attente
2023-04-03,patrouille JM,banc près de Route de Lausanne,Tags / graffitis,normal,fait
